[12,12]
[0,0]:-199.735
[1,0]:-199.735
[2,0]:-192.641
[3,0]:-141.019
[4,0]:-96.125
[5,0]:-65.819
[6,0]:-44.85
[7,0]:-29.553
[8,0]:-17.879
[9,0]:-8.485
[10,0]:0.0
[11,0]:0.0
[0,1]:-199.735
[1,1]:-199.735
[2,1]:-192.641
[3,1]:-141.019
[4,1]:-96.125
[5,1]:-65.819
[6,1]:-44.85
[7,1]:-29.553
[8,1]:-17.879
[9,1]:-8.485
[10,1]:0.0
[11,1]:0.0
[0,2]:-265.394
[1,2]:-265.394
[2,2]:-268.499
[3,2]:-205.617
[4,2]:-142.982
[5,2]:-98.133
[6,2]:-66.669
[7,2]:-43.769
[8,2]:-26.396
[9,2]:-12.507
[10,2]:0.0
[11,2]:0.0
[0,3]:-302.78
[1,3]:-302.78
[2,3]:-317.908
[3,3]:-254.25
[4,3]:-182.065
[5,3]:-126.526
[6,3]:-86.253
[7,3]:-56.637
[8,3]:-34.135
[9,3]:-16.163
[10,3]:0.0
[11,3]:0.0
[0,4]:-316.702
[1,4]:-316.702
[2,4]:-339.175
[3,4]:-278.757
[4,4]:-204.205
[5,4]:-143.814
[6,4]:-98.653
[7,4]:-64.948
[8,4]:-39.184
[9,4]:-18.557
[10,4]:0.0
[11,4]:0.0
[0,5]:-316.372
[1,5]:-316.372
[2,5]:-340.265
[3,5]:-281.991
[4,5]:-208.487
[5,5]:-147.935
[6,5]:-102.004
[7,5]:-67.377
[8,5]:-40.731
[9,5]:-19.308
[10,5]:0.0
[11,5]:0.0
[0,6]:-304.071
[1,6]:-304.071
[2,6]:-324.328
[3,6]:-266.313
[4,6]:-195.818
[5,6]:-138.844
[6,6]:-95.928
[7,6]:-63.535
[8,6]:-38.498
[9,6]:-18.274
[10,6]:0.0
[11,6]:0.0
[0,7]:-277.335
[1,7]:-277.335
[2,7]:-289.377
[3,7]:-231.262
[4,7]:-166.784
[5,7]:-117.323
[6,7]:-80.998
[7,7]:-53.752
[8,7]:-32.645
[9,7]:-15.521
[10,7]:0.0
[11,7]:0.0
[0,8]:-228.481
[1,8]:-228.481
[2,8]:-228.562
[3,8]:-174.238
[4,8]:-121.944
[5,8]:-84.862
[6,8]:-58.526
[7,8]:-38.913
[8,8]:-23.685
[9,8]:-11.277
[10,8]:0.0
[11,8]:0.0
[0,9]:-138.928
[1,9]:-138.928
[2,9]:-129.678
[3,9]:-93.133
[4,9]:-63.483
[5,9]:-43.996
[6,9]:-30.401
[7,9]:-20.26
[8,9]:-12.352
[9,9]:-5.888
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
