[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:0.813
[1,1]:0.813
[2,1]:0.784
[3,1]:0.574
[4,1]:0.392
[5,1]:0.268
[6,1]:0.183
[7,1]:0.121
[8,1]:0.073
[9,1]:0.035
[10,1]:0.0
[11,1]:0.0
[0,2]:0.733
[1,2]:0.733
[2,2]:0.809
[3,2]:0.667
[4,2]:0.486
[5,2]:0.341
[6,2]:0.235
[7,2]:0.155
[8,2]:0.094
[9,2]:0.045
[10,2]:0.0
[11,2]:0.0
[0,3]:0.379
[1,3]:0.379
[2,3]:0.493
[3,3]:0.472
[4,3]:0.379
[5,3]:0.279
[6,3]:0.195
[7,3]:0.13
[8,3]:0.079
[9,3]:0.038
[10,3]:0.0
[11,3]:0.0
[0,4]:0.149
[1,4]:0.149
[2,4]:0.218
[3,4]:0.239
[4,4]:0.211
[5,4]:0.165
[6,4]:0.12
[7,4]:0.081
[8,4]:0.05
[9,4]:0.024
[10,4]:0.0
[11,4]:0.0
[0,5]:0.009
[1,5]:0.009
[2,5]:0.022
[3,5]:0.037
[4,5]:0.042
[5,5]:0.038
[6,5]:0.03
[7,5]:0.022
[8,5]:0.014
[9,5]:0.007
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.113
[1,6]:-0.113
[2,6]:-0.15
[3,6]:-0.147
[4,6]:-0.121
[5,6]:-0.089
[6,6]:-0.062
[7,6]:-0.04
[8,6]:-0.024
[9,6]:-0.011
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.263
[1,7]:-0.263
[2,7]:-0.345
[3,7]:-0.34
[4,7]:-0.281
[5,7]:-0.211
[6,7]:-0.149
[7,7]:-0.099
[8,7]:-0.06
[9,7]:-0.029
[10,7]:0.0
[11,7]:0.0
[0,8]:-0.5
[1,8]:-0.5
[2,8]:-0.613
[3,8]:-0.56
[4,8]:-0.439
[5,8]:-0.321
[6,8]:-0.225
[7,8]:-0.15
[8,8]:-0.092
[9,8]:-0.044
[10,8]:0.0
[11,8]:0.0
[0,9]:-0.952
[1,9]:-0.952
[2,9]:-1.007
[3,9]:-0.801
[4,9]:-0.578
[5,9]:-0.407
[6,9]:-0.283
[7,9]:-0.189
[8,9]:-0.115
[9,9]:-0.055
[10,9]:0.0
[11,9]:0.0
[0,10]:-0.952
[1,10]:-0.952
[2,10]:-1.007
[3,10]:-0.801
[4,10]:-0.578
[5,10]:-0.407
[6,10]:-0.283
[7,10]:-0.189
[8,10]:-0.115
[9,10]:-0.055
[10,10]:0.0
[11,10]:0.0
[0,11]:-0.952
[1,11]:-0.952
[2,11]:-1.007
[3,11]:-0.801
[4,11]:-0.578
[5,11]:-0.407
[6,11]:-0.283
[7,11]:-0.189
[8,11]:-0.115
[9,11]:-0.055
[10,11]:0.0
[11,11]:0.0
