[12,12]
[0,0]:-146.649
[1,0]:-146.649
[2,0]:-133.164
[3,0]:-94.111
[4,0]:-64.608
[5,0]:-44.928
[6,0]:-31.009
[7,0]:-20.661
[8,0]:-12.617
[9,0]:-6.012
[10,0]:0.0
[11,0]:0.0
[0,1]:-146.649
[1,1]:-146.649
[2,1]:-133.164
[3,1]:-94.111
[4,1]:-64.608
[5,1]:-44.928
[6,1]:-31.009
[7,1]:-20.661
[8,1]:-12.617
[9,1]:-6.012
[10,1]:0.0
[11,1]:0.0
[0,2]:-193.911
[1,2]:-193.911
[2,2]:-186.175
[3,2]:-137.943
[4,2]:-96.486
[5,2]:-67.339
[6,2]:-46.451
[7,2]:-30.902
[8,2]:-18.843
[9,2]:-8.972
[10,2]:0.0
[11,2]:0.0
[0,3]:-218.424
[1,3]:-218.424
[2,3]:-218.26
[3,3]:-168.825
[4,3]:-121.196
[5,3]:-85.503
[6,3]:-59.191
[7,3]:-39.409
[8,3]:-24.027
[9,3]:-11.438
[10,3]:0.0
[11,3]:0.0
[0,4]:-227.834
[1,4]:-227.834
[2,4]:-232.153
[3,4]:-184.171
[4,4]:-134.768
[5,4]:-96.094
[6,4]:-66.86
[7,4]:-44.612
[8,4]:-27.222
[9,4]:-12.962
[10,4]:0.0
[11,4]:0.0
[0,5]:-228.019
[1,5]:-228.019
[2,5]:-233.101
[3,5]:-186.142
[4,5]:-137.127
[5,5]:-98.276
[6,5]:-68.609
[7,5]:-45.876
[8,5]:-28.028
[9,5]:-13.354
[10,5]:0.0
[11,5]:0.0
[0,6]:-219.971
[1,6]:-219.971
[2,6]:-222.63
[3,6]:-175.902
[4,6]:-128.734
[5,6]:-92.059
[6,6]:-64.285
[7,6]:-43.032
[8,6]:-26.32
[9,6]:-12.549
[10,6]:0.0
[11,6]:0.0
[0,7]:-201.747
[1,7]:-201.747
[2,7]:-199.119
[3,7]:-152.898
[4,7]:-109.77
[5,7]:-77.834
[6,7]:-54.223
[7,7]:-36.302
[8,7]:-22.223
[9,7]:-10.604
[10,7]:0.0
[11,7]:0.0
[0,8]:-167.72
[1,8]:-167.72
[2,8]:-157.807
[3,8]:-115.344
[4,8]:-80.443
[5,8]:-56.416
[6,8]:-39.194
[7,8]:-26.243
[8,8]:-16.077
[9,8]:-7.677
[10,8]:0.0
[11,8]:0.0
[0,9]:-104.316
[1,9]:-104.316
[2,9]:-90.415
[3,9]:-61.899
[4,9]:-42.052
[5,9]:-29.347
[6,9]:-20.394
[7,9]:-13.668
[8,9]:-8.381
[9,9]:-4.005
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
