[12,12]
[0,0]:-1.0
[1,0]:-0.601
[2,0]:0.242
[3,0]:0.36
[4,0]:0.247
[5,0]:0.165
[6,0]:0.117
[7,0]:0.087
[8,0]:0.068
[9,0]:0.056
[10,0]:0.056
[11,0]:0.056
[0,1]:1.0
[1,1]:0.601
[2,1]:-0.242
[3,1]:-0.36
[4,1]:-0.247
[5,1]:-0.165
[6,1]:-0.117
[7,1]:-0.087
[8,1]:-0.068
[9,1]:-0.056
[10,1]:-0.056
[11,1]:-0.056
[0,2]:1.0
[1,2]:0.797
[2,2]:-0.206
[3,2]:-0.457
[4,2]:-0.356
[5,2]:-0.25
[6,2]:-0.18
[7,2]:-0.135
[8,2]:-0.106
[9,2]:-0.087
[10,2]:-0.087
[11,2]:-0.087
[0,3]:1.0
[1,3]:0.898
[2,3]:-0.14
[3,3]:-0.474
[4,3]:-0.411
[5,3]:-0.306
[6,3]:-0.228
[7,3]:-0.173
[8,3]:-0.136
[9,3]:-0.112
[10,3]:-0.112
[11,3]:-0.112
[0,4]:1.0
[1,4]:0.937
[2,4]:-0.1
[3,4]:-0.466
[4,4]:-0.429
[5,4]:-0.333
[6,4]:-0.253
[7,4]:-0.195
[8,4]:-0.154
[9,4]:-0.128
[10,4]:-0.128
[11,4]:-0.128
[0,5]:1.0
[1,5]:0.938
[2,5]:-0.092
[3,5]:-0.46
[4,5]:-0.428
[5,5]:-0.336
[6,5]:-0.258
[7,5]:-0.199
[8,5]:-0.158
[9,5]:-0.131
[10,5]:-0.131
[11,5]:-0.131
[0,6]:1.0
[1,6]:0.905
[2,6]:-0.113
[3,6]:-0.459
[4,6]:-0.414
[5,6]:-0.319
[6,6]:-0.243
[7,6]:-0.187
[8,6]:-0.148
[9,6]:-0.124
[10,6]:-0.124
[11,6]:-0.124
[0,7]:1.0
[1,7]:0.83
[2,7]:-0.159
[3,7]:-0.453
[4,7]:-0.38
[5,7]:-0.28
[6,7]:-0.208
[7,7]:-0.159
[8,7]:-0.126
[9,7]:-0.104
[10,7]:-0.104
[11,7]:-0.104
[0,8]:1.0
[1,8]:0.69
[2,8]:-0.221
[3,8]:-0.415
[4,8]:-0.31
[5,8]:-0.213
[6,8]:-0.153
[7,8]:-0.116
[8,8]:-0.091
[9,8]:-0.076
[10,8]:-0.076
[11,8]:-0.076
[0,9]:1.0
[1,9]:0.428
[2,9]:-0.237
[3,9]:-0.283
[4,9]:-0.179
[5,9]:-0.115
[6,9]:-0.081
[7,9]:-0.06
[8,9]:-0.048
[9,9]:-0.04
[10,9]:-0.04
[11,9]:-0.04
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
