[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:0.598
[1,1]:0.598
[2,1]:0.543
[3,1]:0.384
[4,1]:0.264
[5,1]:0.183
[6,1]:0.127
[7,1]:0.084
[8,1]:0.051
[9,1]:0.025
[10,1]:0.0
[11,1]:0.0
[0,2]:0.463
[1,2]:0.463
[2,2]:0.499
[3,2]:0.403
[4,2]:0.295
[5,2]:0.209
[6,2]:0.146
[7,2]:0.097
[8,2]:0.06
[9,2]:0.028
[10,2]:0.0
[11,2]:0.0
[0,3]:0.225
[1,3]:0.225
[2,3]:0.291
[3,3]:0.274
[4,3]:0.219
[5,3]:0.163
[6,3]:0.115
[7,3]:0.078
[8,3]:0.048
[9,3]:0.023
[10,3]:0.0
[11,3]:0.0
[0,4]:0.092
[1,4]:0.092
[2,4]:0.132
[3,4]:0.139
[4,4]:0.121
[5,4]:0.095
[6,4]:0.069
[7,4]:0.047
[8,4]:0.029
[9,4]:0.014
[10,4]:0.0
[11,4]:0.0
[0,5]:0.01
[1,5]:0.01
[2,5]:0.018
[3,5]:0.024
[4,5]:0.025
[5,5]:0.021
[6,5]:0.017
[7,5]:0.012
[8,5]:0.008
[9,5]:0.004
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.063
[1,6]:-0.063
[2,6]:-0.084
[3,6]:-0.083
[4,6]:-0.069
[5,6]:-0.052
[6,6]:-0.037
[7,6]:-0.025
[8,6]:-0.015
[9,6]:-0.007
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.154
[1,7]:-0.154
[2,7]:-0.201
[3,7]:-0.196
[4,7]:-0.162
[5,7]:-0.123
[6,7]:-0.088
[7,7]:-0.059
[8,7]:-0.037
[9,7]:-0.017
[10,7]:0.0
[11,7]:0.0
[0,8]:-0.301
[1,8]:-0.301
[2,8]:-0.363
[3,8]:-0.326
[4,8]:-0.255
[5,8]:-0.188
[6,8]:-0.133
[7,8]:-0.09
[8,8]:-0.055
[9,8]:-0.026
[10,8]:0.0
[11,8]:0.0
[0,9]:-0.586
[1,9]:-0.586
[2,9]:-0.602
[3,9]:-0.47
[4,9]:-0.339
[5,9]:-0.24
[6,9]:-0.168
[7,9]:-0.113
[8,9]:-0.069
[9,9]:-0.033
[10,9]:0.0
[11,9]:0.0
[0,10]:-0.586
[1,10]:-0.586
[2,10]:-0.602
[3,10]:-0.47
[4,10]:-0.339
[5,10]:-0.24
[6,10]:-0.168
[7,10]:-0.113
[8,10]:-0.069
[9,10]:-0.033
[10,10]:0.0
[11,10]:0.0
[0,11]:-0.586
[1,11]:-0.586
[2,11]:-0.602
[3,11]:-0.47
[4,11]:-0.339
[5,11]:-0.24
[6,11]:-0.168
[7,11]:-0.113
[8,11]:-0.069
[9,11]:-0.033
[10,11]:0.0
[11,11]:0.0
