-101.694	-101.694	-134.732	-150.616	-157.182	-157.886	-153.204	-141.759	-119.542	-76.731	0.000	0.000
-101.694	-101.694	-134.732	-150.616	-157.182	-157.886	-153.204	-141.759	-119.542	-76.731	0.000	0.000
-85.195	-85.195	-121.111	-141.709	-151.021	-152.202	-145.999	-131.244	-104.722	-60.906	0.000	0.000
-58.120	-58.120	-87.001	-106.332	-116.099	-117.674	-111.596	-97.385	-73.824	-39.985	0.000	0.000
-40.098	-40.098	-61.249	-76.707	-85.169	-86.766	-81.703	-69.973	-51.577	-27.200	0.000	0.000
-28.076	-28.076	-43.187	-54.699	-61.308	-62.686	-58.838	-49.928	-36.362	-19.035	0.000	0.000
-19.482	-19.482	-30.045	-38.244	-43.074	-44.147	-41.393	-34.988	-25.361	-13.248	0.000	0.000
-13.048	-13.048	-20.140	-25.689	-29.003	-29.770	-27.911	-23.559	-17.049	-8.902	0.000	0.000
-8.006	-8.006	-12.358	-15.776	-17.832	-18.319	-17.180	-14.497	-10.486	-5.475	0.000	0.000
-3.819	-3.819	-5.897	-7.530	-8.515	-8.752	-8.210	-6.929	-5.012	-2.617	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
