[12,12]
[0,0]:-101.694
[1,0]:-101.694
[2,0]:-85.195
[3,0]:-58.12
[4,0]:-40.098
[5,0]:-28.076
[6,0]:-19.482
[7,0]:-13.048
[8,0]:-8.006
[9,0]:-3.819
[10,0]:0.0
[11,0]:0.0
[0,1]:-101.694
[1,1]:-101.694
[2,1]:-85.195
[3,1]:-58.12
[4,1]:-40.098
[5,1]:-28.076
[6,1]:-19.482
[7,1]:-13.048
[8,1]:-8.006
[9,1]:-3.819
[10,1]:0.0
[11,1]:0.0
[0,2]:-134.732
[1,2]:-134.732
[2,2]:-121.111
[3,2]:-87.001
[4,2]:-61.249
[5,2]:-43.187
[6,2]:-30.045
[7,2]:-20.14
[8,2]:-12.358
[9,2]:-5.897
[10,2]:0.0
[11,2]:0.0
[0,3]:-150.616
[1,3]:-150.616
[2,3]:-141.709
[3,3]:-106.332
[4,3]:-76.707
[5,3]:-54.699
[6,3]:-38.244
[7,3]:-25.689
[8,3]:-15.776
[9,3]:-7.53
[10,3]:0.0
[11,3]:0.0
[0,4]:-157.182
[1,4]:-157.182
[2,4]:-151.021
[3,4]:-116.099
[4,4]:-85.169
[5,4]:-61.308
[6,4]:-43.074
[7,4]:-29.003
[8,4]:-17.832
[9,4]:-8.515
[10,4]:0.0
[11,4]:0.0
[0,5]:-157.886
[1,5]:-157.886
[2,5]:-152.202
[3,5]:-117.674
[4,5]:-86.766
[5,5]:-62.686
[6,5]:-44.147
[7,5]:-29.77
[8,5]:-18.319
[9,5]:-8.752
[10,5]:0.0
[11,5]:0.0
[0,6]:-153.204
[1,6]:-153.204
[2,6]:-145.999
[3,6]:-111.596
[4,6]:-81.703
[5,6]:-58.838
[6,6]:-41.393
[7,6]:-27.911
[8,6]:-17.18
[9,6]:-8.21
[10,6]:0.0
[11,6]:0.0
[0,7]:-141.759
[1,7]:-141.759
[2,7]:-131.244
[3,7]:-97.385
[4,7]:-69.973
[5,7]:-49.928
[6,7]:-34.988
[7,7]:-23.559
[8,7]:-14.497
[9,7]:-6.929
[10,7]:0.0
[11,7]:0.0
[0,8]:-119.542
[1,8]:-119.542
[2,8]:-104.722
[3,8]:-73.824
[4,8]:-51.577
[5,8]:-36.362
[6,8]:-25.361
[7,8]:-17.049
[8,8]:-10.486
[9,8]:-5.012
[10,8]:0.0
[11,8]:0.0
[0,9]:-76.731
[1,9]:-76.731
[2,9]:-60.906
[3,9]:-39.985
[4,9]:-27.2
[5,9]:-19.035
[6,9]:-13.248
[7,9]:-8.902
[8,9]:-5.475
[9,9]:-2.617
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
