-1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
-0.122	0.122	0.169	0.189	0.197	0.200	0.197	0.189	0.169	0.122	0.000	0.000
0.052	-0.052	-0.055	-0.050	-0.047	-0.045	-0.047	-0.050	-0.055	-0.052	0.000	0.000
0.026	-0.026	-0.035	-0.038	-0.038	-0.038	-0.038	-0.038	-0.035	-0.026	0.000	0.000
0.015	-0.015	-0.024	-0.028	-0.030	-0.030	-0.030	-0.028	-0.024	-0.015	0.000	0.000
0.009	-0.009	-0.016	-0.021	-0.023	-0.024	-0.023	-0.021	-0.016	-0.009	0.000	0.000
0.006	-0.006	-0.012	-0.015	-0.018	-0.018	-0.018	-0.015	-0.012	-0.006	0.000	0.000
0.005	-0.005	-0.009	-0.012	-0.014	-0.014	-0.014	-0.012	-0.009	-0.005	0.000	0.000
0.004	-0.004	-0.007	-0.009	-0.011	-0.011	-0.011	-0.009	-0.007	-0.004	0.000	0.000
0.003	-0.003	-0.006	-0.008	-0.009	-0.010	-0.009	-0.008	-0.006	-0.003	0.000	0.000
0.003	-0.003	-0.006	-0.008	-0.009	-0.010	-0.009	-0.008	-0.006	-0.003	0.000	0.000
0.003	-0.003	-0.006	-0.008	-0.009	-0.010	-0.009	-0.008	-0.006	-0.003	0.000	0.000
