[12,12]
[0,0]:-1.0
[1,0]:-0.122
[2,0]:0.052
[3,0]:0.026
[4,0]:0.015
[5,0]:0.009
[6,0]:0.006
[7,0]:0.005
[8,0]:0.004
[9,0]:0.003
[10,0]:0.003
[11,0]:0.003
[0,1]:1.0
[1,1]:0.122
[2,1]:-0.052
[3,1]:-0.026
[4,1]:-0.015
[5,1]:-0.009
[6,1]:-0.006
[7,1]:-0.005
[8,1]:-0.004
[9,1]:-0.003
[10,1]:-0.003
[11,1]:-0.003
[0,2]:1.0
[1,2]:0.169
[2,2]:-0.055
[3,2]:-0.035
[4,2]:-0.024
[5,2]:-0.016
[6,2]:-0.012
[7,2]:-0.009
[8,2]:-0.007
[9,2]:-0.006
[10,2]:-0.006
[11,2]:-0.006
[0,3]:1.0
[1,3]:0.189
[2,3]:-0.05
[3,3]:-0.038
[4,3]:-0.028
[5,3]:-0.021
[6,3]:-0.015
[7,3]:-0.012
[8,3]:-0.009
[9,3]:-0.008
[10,3]:-0.008
[11,3]:-0.008
[0,4]:1.0
[1,4]:0.197
[2,4]:-0.047
[3,4]:-0.038
[4,4]:-0.03
[5,4]:-0.023
[6,4]:-0.018
[7,4]:-0.014
[8,4]:-0.011
[9,4]:-0.009
[10,4]:-0.009
[11,4]:-0.009
[0,5]:1.0
[1,5]:0.2
[2,5]:-0.045
[3,5]:-0.038
[4,5]:-0.03
[5,5]:-0.024
[6,5]:-0.018
[7,5]:-0.014
[8,5]:-0.011
[9,5]:-0.01
[10,5]:-0.01
[11,5]:-0.01
[0,6]:1.0
[1,6]:0.197
[2,6]:-0.047
[3,6]:-0.038
[4,6]:-0.03
[5,6]:-0.023
[6,6]:-0.018
[7,6]:-0.014
[8,6]:-0.011
[9,6]:-0.009
[10,6]:-0.009
[11,6]:-0.009
[0,7]:1.0
[1,7]:0.189
[2,7]:-0.05
[3,7]:-0.038
[4,7]:-0.028
[5,7]:-0.021
[6,7]:-0.015
[7,7]:-0.012
[8,7]:-0.009
[9,7]:-0.008
[10,7]:-0.008
[11,7]:-0.008
[0,8]:1.0
[1,8]:0.169
[2,8]:-0.055
[3,8]:-0.035
[4,8]:-0.024
[5,8]:-0.016
[6,8]:-0.012
[7,8]:-0.009
[8,8]:-0.007
[9,8]:-0.006
[10,8]:-0.006
[11,8]:-0.006
[0,9]:1.0
[1,9]:0.122
[2,9]:-0.052
[3,9]:-0.026
[4,9]:-0.015
[5,9]:-0.009
[6,9]:-0.006
[7,9]:-0.005
[8,9]:-0.004
[9,9]:-0.003
[10,9]:-0.003
[11,9]:-0.003
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
