[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:1.368
[1,1]:1.368
[2,1]:1.449
[3,1]:1.147
[4,1]:0.779
[5,1]:0.51
[6,1]:0.331
[7,1]:0.209
[8,1]:0.122
[9,1]:0.057
[10,1]:0.0
[11,1]:0.0
[0,2]:1.598
[1,2]:1.598
[2,2]:1.849
[3,2]:1.596
[4,2]:1.165
[5,2]:0.797
[6,2]:0.53
[7,2]:0.341
[8,2]:0.202
[9,2]:0.095
[10,2]:0.0
[11,2]:0.0
[0,3]:0.965
[1,3]:0.965
[2,3]:1.268
[3,3]:1.257
[4,3]:1.018
[5,3]:0.737
[6,3]:0.504
[7,3]:0.327
[8,3]:0.195
[9,3]:0.092
[10,3]:0.0
[11,3]:0.0
[0,4]:0.383
[1,4]:0.383
[2,4]:0.573
[3,4]:0.66
[4,4]:0.603
[5,4]:0.473
[6,4]:0.338
[7,4]:0.225
[8,4]:0.136
[9,4]:0.064
[10,4]:0.0
[11,4]:0.0
[0,5]:0.013
[1,5]:0.013
[2,5]:0.053
[3,5]:0.11
[4,5]:0.14
[5,5]:0.135
[6,5]:0.11
[7,5]:0.079
[8,5]:0.05
[9,5]:0.024
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.28
[1,6]:-0.28
[2,6]:-0.374
[3,6]:-0.375
[4,6]:-0.3
[5,6]:-0.209
[6,6]:-0.134
[7,6]:-0.081
[8,6]:-0.045
[9,6]:-0.02
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.624
[1,7]:-0.624
[2,7]:-0.84
[3,7]:-0.864
[4,7]:-0.722
[5,7]:-0.532
[6,7]:-0.363
[7,7]:-0.233
[8,7]:-0.137
[9,7]:-0.064
[10,7]:0.0
[11,7]:0.0
[0,8]:-1.156
[1,8]:-1.156
[2,8]:-1.478
[3,8]:-1.418
[4,8]:-1.127
[5,8]:-0.813
[6,8]:-0.557
[7,8]:-0.364
[8,8]:-0.217
[9,8]:-0.102
[10,8]:0.0
[11,8]:0.0
[0,9]:-2.149
[1,9]:-2.149
[2,9]:-2.411
[3,9]:-2.024
[4,9]:-1.475
[5,9]:-1.028
[6,9]:-0.702
[7,9]:-0.462
[8,9]:-0.278
[9,9]:-0.132
[10,9]:0.0
[11,9]:0.0
[0,10]:-2.149
[1,10]:-2.149
[2,10]:-2.411
[3,10]:-2.024
[4,10]:-1.475
[5,10]:-1.028
[6,10]:-0.702
[7,10]:-0.462
[8,10]:-0.278
[9,10]:-0.132
[10,10]:0.0
[11,10]:0.0
[0,11]:-2.149
[1,11]:-2.149
[2,11]:-2.411
[3,11]:-2.024
[4,11]:-1.475
[5,11]:-1.028
[6,11]:-0.702
[7,11]:-0.462
[8,11]:-0.278
[9,11]:-0.132
[10,11]:0.0
[11,11]:0.0
