[12,12]
[0,0]:-337.949
[1,0]:-337.949
[2,0]:-357.996
[3,0]:-282.707
[4,0]:-191.764
[5,0]:-125.341
[6,0]:-81.284
[7,0]:-51.219
[8,0]:-29.818
[9,0]:-13.874
[10,0]:0.0
[11,0]:0.0
[0,1]:-337.949
[1,1]:-337.949
[2,1]:-357.996
[3,1]:-282.707
[4,1]:-191.764
[5,1]:-125.341
[6,1]:-81.284
[7,1]:-51.219
[8,1]:-29.818
[9,1]:-13.874
[10,1]:0.0
[11,1]:0.0
[0,2]:-458.899
[1,2]:-458.899
[2,2]:-505.771
[3,2]:-416.798
[4,2]:-290.097
[5,2]:-190.816
[6,2]:-123.285
[7,2]:-77.229
[8,2]:-44.725
[9,2]:-20.744
[10,2]:0.0
[11,2]:0.0
[0,3]:-543.86
[1,3]:-543.86
[2,3]:-619.992
[3,3]:-533.653
[4,3]:-385.576
[5,3]:-259.158
[6,3]:-168.922
[7,3]:-106.164
[8,3]:-61.592
[9,3]:-28.577
[10,3]:0.0
[11,3]:0.0
[0,4]:-578.304
[1,4]:-578.304
[2,4]:-673.558
[3,4]:-598.101
[4,4]:-445.721
[5,4]:-306.357
[6,4]:-202.258
[7,4]:-127.99
[8,4]:-74.556
[9,4]:-34.643
[10,4]:0.0
[11,4]:0.0
[0,5]:-579.066
[1,5]:-579.066
[2,5]:-679.33
[3,5]:-610.889
[4,5]:-462.372
[5,5]:-322.476
[6,5]:-215.345
[7,5]:-137.396
[8,5]:-80.49
[9,5]:-37.5
[10,5]:0.0
[11,5]:0.0
[0,6]:-555.083
[1,6]:-555.083
[2,6]:-647.951
[3,6]:-579.305
[4,6]:-437.588
[5,6]:-306.246
[6,6]:-205.948
[7,6]:-132.419
[8,6]:-78.078
[9,6]:-36.506
[10,6]:0.0
[11,6]:0.0
[0,7]:-503.702
[1,7]:-503.702
[2,7]:-577.861
[3,7]:-504.416
[4,7]:-374.063
[5,7]:-260.063
[6,7]:-175.392
[7,7]:-113.53
[8,7]:-67.378
[9,7]:-31.626
[10,7]:0.0
[11,7]:0.0
[0,8]:-411.046
[1,8]:-411.046
[2,8]:-455.544
[3,8]:-380.919
[4,8]:-273.943
[5,8]:-188.312
[6,8]:-127.221
[7,8]:-82.854
[8,8]:-49.463
[9,8]:-23.3
[10,8]:0.0
[11,8]:0.0
[0,9]:-242.548
[1,9]:-242.548
[2,9]:-255.416
[3,9]:-203.449
[4,9]:-142.596
[5,9]:-97.532
[6,9]:-66.135
[7,9]:-43.276
[8,9]:-25.931
[9,9]:-12.241
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
