[12,12]
[0,0]:-1.0
[1,0]:-1.372
[2,0]:0.175
[3,0]:1.126
[4,0]:1.055
[5,0]:0.738
[6,0]:0.504
[7,0]:0.359
[8,0]:0.268
[9,0]:0.21
[10,0]:0.21
[11,0]:0.21
[0,1]:1.0
[1,1]:1.372
[2,1]:-0.175
[3,1]:-1.126
[4,1]:-1.055
[5,1]:-0.738
[6,1]:-0.504
[7,1]:-0.359
[8,1]:-0.268
[9,1]:-0.21
[10,1]:-0.21
[11,1]:-0.21
[0,2]:1.0
[1,2]:1.894
[2,2]:0.075
[3,2]:-1.396
[4,2]:-1.493
[5,2]:-1.108
[6,2]:-0.771
[7,2]:-0.549
[8,2]:-0.407
[9,2]:-0.317
[10,2]:-0.317
[11,2]:-0.317
[0,3]:1.0
[1,3]:2.245
[2,3]:0.392
[3,3]:-1.409
[4,3]:-1.736
[5,3]:-1.39
[6,3]:-1.005
[7,3]:-0.725
[8,3]:-0.539
[9,3]:-0.421
[10,3]:-0.421
[11,3]:-0.421
[0,4]:1.0
[1,4]:2.386
[2,4]:0.592
[3,4]:-1.319
[4,4]:-1.796
[5,4]:-1.522
[6,4]:-1.141
[7,4]:-0.839
[8,4]:-0.629
[9,4]:-0.493
[10,4]:-0.493
[11,4]:-0.493
[0,5]:1.0
[1,5]:2.389
[2,5]:0.638
[3,5]:-1.259
[4,5]:-1.766
[5,5]:-1.529
[6,5]:-1.168
[7,5]:-0.87
[8,5]:-0.658
[9,5]:-0.519
[10,5]:-0.519
[11,5]:-0.519
[0,6]:1.0
[1,6]:2.29
[2,6]:0.549
[3,6]:-1.256
[4,6]:-1.693
[5,6]:-1.44
[6,6]:-1.094
[7,6]:-0.818
[8,6]:-0.623
[9,6]:-0.494
[10,6]:-0.494
[11,6]:-0.494
[0,7]:1.0
[1,7]:2.079
[2,7]:0.337
[3,7]:-1.275
[4,7]:-1.552
[5,7]:-1.252
[6,7]:-0.926
[7,7]:-0.689
[8,7]:-0.527
[9,7]:-0.421
[10,7]:-0.421
[11,7]:-0.421
[0,8]:1.0
[1,8]:1.693
[2,8]:0.023
[3,8]:-1.21
[4,8]:-1.263
[5,8]:-0.941
[6,8]:-0.672
[7,8]:-0.496
[8,8]:-0.381
[9,8]:-0.307
[10,8]:-0.307
[11,8]:-0.307
[0,9]:1.0
[1,9]:0.988
[2,9]:-0.227
[3,9]:-0.816
[4,9]:-0.716
[5,9]:-0.495
[6,9]:-0.347
[7,9]:-0.256
[8,9]:-0.198
[9,9]:-0.16
[10,9]:-0.16
[11,9]:-0.16
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
