[12,12]
[0,0]:-1.0
[1,0]:-0.259
[2,0]:0.12
[3,0]:0.091
[4,0]:0.054
[5,0]:0.035
[6,0]:0.025
[7,0]:0.019
[8,0]:0.014
[9,0]:0.012
[10,0]:0.012
[11,0]:0.012
[0,1]:1.0
[1,1]:0.259
[2,1]:-0.12
[3,1]:-0.091
[4,1]:-0.054
[5,1]:-0.035
[6,1]:-0.025
[7,1]:-0.019
[8,1]:-0.014
[9,1]:-0.012
[10,1]:-0.012
[11,1]:-0.012
[0,2]:1.0
[1,2]:0.347
[2,2]:-0.118
[3,2]:-0.121
[4,2]:-0.082
[5,2]:-0.057
[6,2]:-0.042
[7,2]:-0.031
[8,2]:-0.025
[9,2]:-0.021
[10,2]:-0.021
[11,2]:-0.021
[0,3]:1.0
[1,3]:0.387
[2,3]:-0.102
[3,3]:-0.128
[4,3]:-0.095
[5,3]:-0.071
[6,3]:-0.053
[7,3]:-0.041
[8,3]:-0.032
[9,3]:-0.027
[10,3]:-0.027
[11,3]:-0.027
[0,4]:1.0
[1,4]:0.405
[2,4]:-0.092
[3,4]:-0.128
[4,4]:-0.101
[5,4]:-0.078
[6,4]:-0.06
[7,4]:-0.046
[8,4]:-0.037
[9,4]:-0.031
[10,4]:-0.031
[11,4]:-0.031
[0,5]:1.0
[1,5]:0.409
[2,5]:-0.089
[3,5]:-0.127
[4,5]:-0.102
[5,5]:-0.079
[6,5]:-0.061
[7,5]:-0.048
[8,5]:-0.039
[9,5]:-0.033
[10,5]:-0.033
[11,5]:-0.033
[0,6]:1.0
[1,6]:0.4
[2,6]:-0.093
[3,6]:-0.127
[4,6]:-0.1
[5,6]:-0.076
[6,6]:-0.059
[7,6]:-0.046
[8,6]:-0.036
[9,6]:-0.031
[10,6]:-0.031
[11,6]:-0.031
[0,7]:1.0
[1,7]:0.375
[2,7]:-0.105
[3,7]:-0.126
[4,7]:-0.093
[5,7]:-0.068
[6,7]:-0.051
[7,7]:-0.039
[8,7]:-0.031
[9,7]:-0.026
[10,7]:-0.026
[11,7]:-0.026
[0,8]:1.0
[1,8]:0.324
[2,8]:-0.119
[3,8]:-0.116
[4,8]:-0.077
[5,8]:-0.053
[6,8]:-0.038
[7,8]:-0.029
[8,8]:-0.023
[9,8]:-0.019
[10,8]:-0.019
[11,8]:-0.019
[0,9]:1.0
[1,9]:0.218
[2,9]:-0.115
[3,9]:-0.081
[4,9]:-0.046
[5,9]:-0.03
[6,9]:-0.021
[7,9]:-0.015
[8,9]:-0.012
[9,9]:-0.01
[10,9]:-0.01
[11,9]:-0.01
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
