[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:0.258
[1,1]:0.258
[2,1]:0.191
[3,1]:0.125
[4,1]:0.086
[5,1]:0.06
[6,1]:0.042
[7,1]:0.028
[8,1]:0.017
[9,1]:0.008
[10,1]:0.0
[11,1]:0.0
[0,2]:0.135
[1,2]:0.135
[2,2]:0.136
[3,2]:0.106
[4,2]:0.078
[5,2]:0.056
[6,2]:0.04
[7,2]:0.027
[8,2]:0.016
[9,2]:0.008
[10,2]:0.0
[11,2]:0.0
[0,3]:0.06
[1,3]:0.06
[2,3]:0.076
[3,3]:0.069
[4,3]:0.055
[5,3]:0.042
[6,3]:0.03
[7,3]:0.02
[8,3]:0.013
[9,3]:0.006
[10,3]:0.0
[11,3]:0.0
[0,4]:0.026
[1,4]:0.026
[2,4]:0.037
[3,4]:0.037
[4,4]:0.031
[5,4]:0.025
[6,4]:0.018
[7,4]:0.013
[8,4]:0.008
[9,4]:0.004
[10,4]:0.0
[11,4]:0.0
[0,5]:0.006
[1,5]:0.006
[2,5]:0.009
[3,5]:0.01
[4,5]:0.009
[5,5]:0.007
[6,5]:0.005
[7,5]:0.004
[8,5]:0.002
[9,5]:0.001
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.011
[1,6]:-0.011
[2,6]:-0.016
[3,6]:-0.016
[4,6]:-0.014
[5,6]:-0.011
[6,6]:-0.008
[7,6]:-0.005
[8,6]:-0.003
[9,6]:-0.002
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.033
[1,7]:-0.033
[2,7]:-0.045
[3,7]:-0.044
[4,7]:-0.037
[5,7]:-0.028
[6,7]:-0.021
[7,7]:-0.014
[8,7]:-0.009
[9,7]:-0.004
[10,7]:0.0
[11,7]:0.0
[0,8]:-0.071
[1,8]:-0.071
[2,8]:-0.086
[3,8]:-0.076
[4,8]:-0.06
[5,8]:-0.045
[6,8]:-0.032
[7,8]:-0.022
[8,8]:-0.014
[9,8]:-0.007
[10,8]:0.0
[11,8]:0.0
[0,9]:-0.152
[1,9]:-0.152
[2,9]:-0.148
[3,9]:-0.113
[4,9]:-0.083
[5,9]:-0.059
[6,9]:-0.041
[7,9]:-0.028
[8,9]:-0.017
[9,9]:-0.008
[10,9]:0.0
[11,9]:0.0
[0,10]:-0.152
[1,10]:-0.152
[2,10]:-0.148
[3,10]:-0.113
[4,10]:-0.083
[5,10]:-0.059
[6,10]:-0.041
[7,10]:-0.028
[8,10]:-0.017
[9,10]:-0.008
[10,10]:0.0
[11,10]:0.0
[0,11]:-0.152
[1,11]:-0.152
[2,11]:-0.148
[3,11]:-0.113
[4,11]:-0.083
[5,11]:-0.059
[6,11]:-0.041
[7,11]:-0.028
[8,11]:-0.017
[9,11]:-0.008
[10,11]:0.0
[11,11]:0.0
