0.000	0.258	0.135	0.060	0.026	0.006	-0.011	-0.033	-0.071	-0.152	-0.152	-0.152
0.000	0.258	0.135	0.060	0.026	0.006	-0.011	-0.033	-0.071	-0.152	-0.152	-0.152
0.000	0.191	0.136	0.076	0.037	0.009	-0.016	-0.045	-0.086	-0.148	-0.148	-0.148
0.000	0.125	0.106	0.069	0.037	0.010	-0.016	-0.044	-0.076	-0.113	-0.113	-0.113
0.000	0.086	0.078	0.055	0.031	0.009	-0.014	-0.037	-0.060	-0.083	-0.083	-0.083
0.000	0.060	0.056	0.042	0.025	0.007	-0.011	-0.028	-0.045	-0.059	-0.059	-0.059
0.000	0.042	0.040	0.030	0.018	0.005	-0.008	-0.021	-0.032	-0.041	-0.041	-0.041
0.000	0.028	0.027	0.020	0.013	0.004	-0.005	-0.014	-0.022	-0.028	-0.028	-0.028
0.000	0.017	0.016	0.013	0.008	0.002	-0.003	-0.009	-0.014	-0.017	-0.017	-0.017
0.000	0.008	0.008	0.006	0.004	0.001	-0.002	-0.004	-0.007	-0.008	-0.008	-0.008
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
