[12,12]
[0,0]:-1.0
[1,0]:-2.121
[2,0]:-0.313
[3,0]:1.775
[4,0]:2.164
[5,0]:1.657
[6,0]:1.12
[7,0]:0.757
[8,0]:0.529
[9,0]:0.386
[10,0]:0.386
[11,0]:0.386
[0,1]:1.0
[1,1]:2.121
[2,1]:0.313
[3,1]:-1.775
[4,1]:-2.164
[5,1]:-1.657
[6,1]:-1.12
[7,1]:-0.757
[8,1]:-0.529
[9,1]:-0.386
[10,1]:-0.386
[11,1]:-0.386
[0,2]:1.0
[1,2]:3.064
[2,2]:0.984
[3,2]:-2.192
[4,2]:-3.101
[5,2]:-2.517
[6,2]:-1.741
[7,2]:-1.18
[8,2]:-0.819
[9,2]:-0.592
[10,2]:-0.592
[11,2]:-0.592
[0,3]:1.0
[1,3]:3.824
[2,3]:1.787
[3,3]:-2.132
[4,3]:-3.668
[5,3]:-3.236
[6,3]:-2.347
[7,3]:-1.626
[8,3]:-1.139
[9,3]:-0.829
[10,3]:-0.829
[11,3]:-0.829
[0,4]:1.0
[1,4]:4.189
[2,4]:2.324
[3,4]:-1.846
[4,4]:-3.797
[5,4]:-3.596
[6,4]:-2.733
[7,4]:-1.946
[8,4]:-1.383
[9,4]:-1.017
[10,4]:-1.017
[11,4]:-1.017
[0,5]:1.0
[1,5]:4.239
[2,5]:2.475
[3,5]:-1.654
[4,5]:-3.701
[5,5]:-3.622
[6,5]:-2.829
[7,5]:-2.059
[8,5]:-1.488
[9,5]:-1.109
[10,5]:-1.109
[11,5]:-1.109
[0,6]:1.0
[1,6]:4.073
[2,6]:2.282
[3,6]:-1.66
[4,6]:-3.526
[5,6]:-3.403
[6,6]:-2.656
[7,6]:-1.951
[8,6]:-1.43
[9,6]:-1.082
[10,6]:-1.082
[11,6]:-1.082
[0,7]:1.0
[1,7]:3.696
[2,7]:1.776
[3,7]:-1.797
[4,7]:-3.239
[5,7]:-2.952
[6,7]:-2.245
[7,7]:-1.645
[8,7]:-1.22
[9,7]:-0.936
[10,7]:-0.936
[11,7]:-0.936
[0,8]:1.0
[1,8]:2.99
[2,8]:0.973
[3,8]:-1.836
[4,8]:-2.646
[5,8]:-2.214
[6,8]:-1.62
[7,8]:-1.18
[8,8]:-0.884
[9,8]:-0.687
[10,8]:-0.687
[11,8]:-0.687
[0,9]:1.0
[1,9]:1.689
[2,9]:0.172
[3,9]:-1.252
[4,9]:-1.48
[5,9]:-1.158
[6,9]:-0.83
[7,9]:-0.607
[8,9]:-0.459
[9,9]:-0.36
[10,9]:-0.36
[11,9]:-0.36
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
