[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:2.611
[1,1]:2.611
[2,1]:3.086
[3,1]:2.799
[4,1]:2.0
[5,1]:1.241
[6,1]:0.717
[7,1]:0.392
[8,1]:0.196
[9,1]:0.083
[10,1]:0.0
[11,1]:0.0
[0,2]:4.258
[1,2]:4.258
[2,2]:5.282
[3,2]:4.965
[4,2]:3.728
[5,2]:2.471
[6,2]:1.543
[7,2]:0.921
[8,2]:0.509
[9,2]:0.229
[10,2]:0.0
[11,2]:0.0
[0,3]:3.404
[1,3]:3.404
[2,3]:4.546
[3,3]:4.708
[4,3]:3.903
[5,3]:2.793
[6,3]:1.836
[7,3]:1.136
[8,3]:0.646
[9,3]:0.296
[10,3]:0.0
[11,3]:0.0
[0,4]:1.635
[1,4]:1.635
[2,4]:2.403
[3,4]:2.828
[4,4]:2.661
[5,4]:2.103
[6,4]:1.479
[7,4]:0.955
[8,4]:0.558
[9,4]:0.258
[10,4]:0.0
[11,4]:0.0
[0,5]:0.245
[1,5]:0.245
[2,5]:0.46
[3,5]:0.715
[4,5]:0.876
[5,5]:0.85
[6,5]:0.694
[7,5]:0.497
[8,5]:0.311
[9,5]:0.149
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.749
[1,6]:-0.749
[2,6]:-1.05
[3,6]:-1.134
[4,6]:-0.889
[5,6]:-0.531
[6,6]:-0.251
[7,6]:-0.09
[8,6]:-0.018
[9,6]:-0.0
[10,6]:0.0
[11,6]:0.0
[0,7]:-1.756
[1,7]:-1.756
[2,7]:-2.548
[3,7]:-2.895
[4,7]:-2.519
[5,7]:-1.813
[6,7]:-1.156
[7,7]:-0.677
[8,7]:-0.361
[9,7]:-0.159
[10,7]:0.0
[11,7]:0.0
[0,8]:-3.27
[1,8]:-3.27
[2,8]:-4.57
[3,8]:-4.85
[4,8]:-4.031
[5,8]:-2.89
[6,8]:-1.904
[7,8]:-1.177
[8,8]:-0.666
[9,8]:-0.304
[10,8]:0.0
[11,8]:0.0
[0,9]:-6.078
[1,9]:-6.078
[2,9]:-7.465
[3,9]:-6.918
[4,9]:-5.275
[5,9]:-3.667
[6,9]:-2.439
[7,9]:-1.552
[8,9]:-0.906
[9,9]:-0.421
[10,9]:0.0
[11,9]:0.0
[0,10]:-6.078
[1,10]:-6.078
[2,10]:-7.465
[3,10]:-6.918
[4,10]:-5.275
[5,10]:-3.667
[6,10]:-2.439
[7,10]:-1.552
[8,10]:-0.906
[9,10]:-0.421
[10,10]:0.0
[11,10]:0.0
[0,11]:-6.078
[1,11]:-6.078
[2,11]:-7.465
[3,11]:-6.918
[4,11]:-5.275
[5,11]:-3.667
[6,11]:-2.439
[7,11]:-1.552
[8,11]:-0.906
[9,11]:-0.421
[10,11]:0.0
[11,11]:0.0
