[12,12]
[0,0]:-658.074
[1,0]:-658.074
[2,0]:-779.769
[3,0]:-703.305
[4,0]:-498.816
[5,0]:-307.817
[6,0]:-177.141
[7,0]:-96.515
[8,0]:-48.289
[9,0]:-20.378
[10,0]:0.0
[11,0]:0.0
[0,1]:-658.074
[1,1]:-658.074
[2,1]:-779.769
[3,1]:-703.305
[4,1]:-498.816
[5,1]:-307.817
[6,1]:-177.141
[7,1]:-96.515
[8,1]:-48.289
[9,1]:-20.378
[10,1]:0.0
[11,1]:0.0
[0,2]:-934.46
[1,2]:-934.46
[2,2]:-1146.453
[3,2]:-1073.743
[4,2]:-784.446
[5,2]:-493.727
[6,2]:-287.41
[7,2]:-157.747
[8,2]:-79.498
[9,2]:-33.714
[10,2]:0.0
[11,2]:0.0
[0,3]:-1199.915
[1,3]:-1199.915
[2,3]:-1514.615
[3,3]:-1473.024
[4,3]:-1121.9
[5,3]:-733.817
[6,3]:-441.556
[7,3]:-249.948
[8,3]:-130.094
[9,3]:-56.371
[10,3]:0.0
[11,3]:0.0
[0,4]:-1343.654
[1,4]:-1343.654
[2,4]:-1732.786
[3,4]:-1739.544
[4,4]:-1376.771
[5,4]:-934.972
[6,4]:-581.251
[7,4]:-338.502
[8,4]:-180.845
[9,4]:-79.599
[10,4]:0.0
[11,4]:0.0
[0,5]:-1372.751
[1,5]:-1372.751
[2,5]:-1789.477
[3,5]:-1827.661
[4,5]:-1481.217
[5,5]:-1033.264
[6,5]:-659.612
[7,5]:-393.669
[8,5]:-214.928
[9,5]:-95.785
[10,5]:0.0
[11,5]:0.0
[0,6]:-1322.556
[1,6]:-1322.556
[2,6]:-1722.371
[3,6]:-1757.086
[4,6]:-1429.874
[5,6]:-1009.175
[6,6]:-655.82
[7,6]:-399.521
[8,6]:-222.4
[9,6]:-100.26
[10,6]:0.0
[11,6]:0.0
[0,7]:-1200.666
[1,7]:-1200.666
[2,7]:-1542.753
[3,7]:-1541.921
[4,7]:-1236.046
[5,7]:-870.189
[6,7]:-571.021
[7,7]:-353.71
[8,7]:-200.339
[9,7]:-91.286
[10,7]:0.0
[11,7]:0.0
[0,8]:-976.462
[1,8]:-976.462
[2,8]:-1217.236
[3,8]:-1169.787
[4,8]:-911.698
[5,8]:-635.45
[6,8]:-419.29
[7,8]:-263.262
[8,8]:-151.269
[9,8]:-69.545
[10,8]:0.0
[11,8]:0.0
[0,9]:-562.475
[1,9]:-562.475
[2,9]:-674.597
[3,9]:-624.701
[4,9]:-477.219
[5,9]:-331.015
[6,9]:-219.405
[7,9]:-138.9
[8,9]:-80.459
[9,9]:-37.176
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
