-1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
-2.569	2.569	3.811	4.901	5.481	5.596	5.394	4.900	3.956	2.196	0.000	0.000
-0.797	0.797	1.852	3.112	3.980	4.249	3.976	3.206	1.949	0.608	0.000	0.000
2.050	-2.050	-2.528	-2.364	-1.877	-1.549	-1.567	-1.848	-2.052	-1.421	0.000	0.000
2.934	-2.934	-4.265	-5.114	-5.311	-5.151	-4.889	-4.496	-3.673	-2.027	0.000	0.000
2.393	-2.393	-3.670	-4.788	-5.378	-5.435	-5.102	-4.420	-3.307	-1.718	0.000	0.000
1.633	-1.633	-2.563	-3.515	-4.152	-4.332	-4.077	-3.445	-2.481	-1.267	0.000	0.000
1.078	-1.078	-1.700	-2.395	-2.922	-3.131	-2.985	-2.521	-1.807	-0.926	0.000	0.000
0.723	-0.723	-1.134	-1.622	-2.020	-2.211	-2.147	-1.840	-1.336	-0.693	0.000	0.000
0.499	-0.499	-0.778	-1.128	-1.428	-1.593	-1.578	-1.379	-1.019	-0.535	0.000	0.000
0.499	-0.499	-0.778	-1.128	-1.428	-1.593	-1.578	-1.379	-1.019	-0.535	0.000	0.000
0.499	-0.499	-0.778	-1.128	-1.428	-1.593	-1.578	-1.379	-1.019	-0.535	0.000	0.000
