[12,12]
[0,0]:-1.0
[1,0]:-2.569
[2,0]:-0.797
[3,0]:2.05
[4,0]:2.934
[5,0]:2.393
[6,0]:1.633
[7,0]:1.078
[8,0]:0.723
[9,0]:0.499
[10,0]:0.499
[11,0]:0.499
[0,1]:1.0
[1,1]:2.569
[2,1]:0.797
[3,1]:-2.05
[4,1]:-2.934
[5,1]:-2.393
[6,1]:-1.633
[7,1]:-1.078
[8,1]:-0.723
[9,1]:-0.499
[10,1]:-0.499
[11,1]:-0.499
[0,2]:1.0
[1,2]:3.811
[2,2]:1.852
[3,2]:-2.528
[4,2]:-4.265
[5,2]:-3.67
[6,2]:-2.563
[7,2]:-1.7
[8,2]:-1.134
[9,2]:-0.778
[10,2]:-0.778
[11,2]:-0.778
[0,3]:1.0
[1,3]:4.901
[2,3]:3.112
[3,3]:-2.364
[4,3]:-5.114
[5,3]:-4.788
[6,3]:-3.515
[7,3]:-2.395
[8,3]:-1.622
[9,3]:-1.128
[10,3]:-1.128
[11,3]:-1.128
[0,4]:1.0
[1,4]:5.481
[2,4]:3.98
[3,4]:-1.877
[4,4]:-5.311
[5,4]:-5.378
[6,4]:-4.152
[7,4]:-2.922
[8,4]:-2.02
[9,4]:-1.428
[10,4]:-1.428
[11,4]:-1.428
[0,5]:1.0
[1,5]:5.596
[2,5]:4.249
[3,5]:-1.549
[4,5]:-5.151
[5,5]:-5.435
[6,5]:-4.332
[7,5]:-3.131
[8,5]:-2.211
[9,5]:-1.593
[10,5]:-1.593
[11,5]:-1.593
[0,6]:1.0
[1,6]:5.394
[2,6]:3.976
[3,6]:-1.567
[4,6]:-4.889
[5,6]:-5.102
[6,6]:-4.077
[7,6]:-2.985
[8,6]:-2.147
[9,6]:-1.578
[10,6]:-1.578
[11,6]:-1.578
[0,7]:1.0
[1,7]:4.9
[2,7]:3.206
[3,7]:-1.848
[4,7]:-4.496
[5,7]:-4.42
[6,7]:-3.445
[7,7]:-2.521
[8,7]:-1.84
[9,7]:-1.379
[10,7]:-1.379
[11,7]:-1.379
[0,8]:1.0
[1,8]:3.956
[2,8]:1.949
[3,8]:-2.052
[4,8]:-3.673
[5,8]:-3.307
[6,8]:-2.481
[7,8]:-1.807
[8,8]:-1.336
[9,8]:-1.019
[10,8]:-1.019
[11,8]:-1.019
[0,9]:1.0
[1,9]:2.196
[2,9]:0.608
[3,9]:-1.421
[4,9]:-2.027
[5,9]:-1.718
[6,9]:-1.267
[7,9]:-0.926
[8,9]:-0.693
[9,9]:-0.535
[10,9]:-0.535
[11,9]:-0.535
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
