0.000	2.611	4.258	3.404	1.635	0.245	-0.749	-1.756	-3.270	-6.078	-6.078	-6.078
0.000	2.611	4.258	3.404	1.635	0.245	-0.749	-1.756	-3.270	-6.078	-6.078	-6.078
0.000	3.086	5.282	4.546	2.403	0.460	-1.050	-2.548	-4.570	-7.465	-7.465	-7.465
0.000	2.799	4.965	4.708	2.828	0.715	-1.134	-2.895	-4.850	-6.918	-6.918	-6.918
0.000	2.000	3.728	3.903	2.661	0.876	-0.889	-2.519	-4.031	-5.275	-5.275	-5.275
0.000	1.241	2.471	2.793	2.103	0.850	-0.531	-1.813	-2.890	-3.667	-3.667	-3.667
0.000	0.717	1.543	1.836	1.479	0.694	-0.251	-1.156	-1.904	-2.439	-2.439	-2.439
0.000	0.392	0.921	1.136	0.955	0.497	-0.090	-0.677	-1.177	-1.552	-1.552	-1.552
0.000	0.196	0.509	0.646	0.558	0.311	-0.018	-0.361	-0.666	-0.906	-0.906	-0.906
0.000	0.083	0.229	0.296	0.258	0.149	-0.000	-0.159	-0.304	-0.421	-0.421	-0.421
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
