[12,12]
[0,0]:-1.0
[1,0]:-1.073
[2,0]:0.256
[3,0]:0.826
[4,0]:0.692
[5,0]:0.471
[6,0]:0.326
[7,0]:0.237
[8,0]:0.181
[9,0]:0.145
[10,0]:0.145
[11,0]:0.145
[0,1]:1.0
[1,1]:1.073
[2,1]:-0.256
[3,1]:-0.826
[4,1]:-0.692
[5,1]:-0.471
[6,1]:-0.326
[7,1]:-0.237
[8,1]:-0.181
[9,1]:-0.145
[10,1]:-0.145
[11,1]:-0.145
[0,2]:1.0
[1,2]:1.454
[2,2]:-0.114
[3,2]:-1.029
[4,2]:-0.979
[5,2]:-0.706
[6,2]:-0.497
[7,2]:-0.362
[8,2]:-0.274
[9,2]:-0.22
[10,2]:-0.22
[11,2]:-0.22
[0,3]:1.0
[1,3]:1.688
[2,3]:0.08
[3,3]:-1.05
[4,3]:-1.133
[5,3]:-0.877
[6,3]:-0.638
[7,3]:-0.47
[8,3]:-0.358
[9,3]:-0.286
[10,3]:-0.286
[11,3]:-0.286
[0,4]:1.0
[1,4]:1.776
[2,4]:0.201
[3,4]:-1.004
[4,4]:-1.174
[5,4]:-0.955
[6,4]:-0.718
[7,4]:-0.537
[8,4]:-0.411
[9,4]:-0.33
[10,4]:-0.33
[11,4]:-0.33
[0,5]:1.0
[1,5]:1.775
[2,5]:0.226
[3,5]:-0.973
[4,5]:-1.16
[5,5]:-0.96
[6,5]:-0.732
[7,5]:-0.553
[8,5]:-0.426
[9,5]:-0.343
[10,5]:-0.343
[11,5]:-0.343
[0,6]:1.0
[1,6]:1.703
[2,6]:0.168
[3,6]:-0.97
[4,6]:-1.115
[5,6]:-0.906
[6,6]:-0.686
[7,6]:-0.518
[8,6]:-0.401
[9,6]:-0.325
[10,6]:-0.325
[11,6]:-0.325
[0,7]:1.0
[1,7]:1.548
[2,7]:0.035
[3,7]:-0.97
[4,7]:-1.022
[5,7]:-0.789
[6,7]:-0.582
[7,7]:-0.437
[8,7]:-0.339
[9,7]:-0.276
[10,7]:-0.276
[11,7]:-0.276
[0,8]:1.0
[1,8]:1.267
[2,8]:-0.155
[3,8]:-0.905
[4,8]:-0.83
[5,8]:-0.594
[6,8]:-0.424
[7,8]:-0.316
[8,8]:-0.245
[9,8]:-0.2
[10,8]:-0.2
[11,8]:-0.2
[0,9]:1.0
[1,9]:0.752
[2,9]:-0.279
[3,9]:-0.61
[4,9]:-0.473
[5,9]:-0.314
[6,9]:-0.22
[7,9]:-0.164
[8,9]:-0.127
[9,9]:-0.104
[10,9]:-0.104
[11,9]:-0.104
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
