[12,12]
[0,0]:-262.806
[1,0]:-262.806
[2,0]:-266.441
[3,0]:-202.335
[4,0]:-137.235
[5,0]:-91.953
[6,0]:-61.371
[7,0]:-39.713
[8,0]:-23.66
[9,0]:-11.145
[10,0]:0.0
[11,0]:0.0
[0,1]:-262.806
[1,1]:-262.806
[2,1]:-266.441
[3,1]:-202.335
[4,1]:-137.235
[5,1]:-91.953
[6,1]:-61.371
[7,1]:-39.713
[8,1]:-23.66
[9,1]:-11.145
[10,1]:0.0
[11,1]:0.0
[0,2]:-352.488
[1,2]:-352.488
[2,2]:-373.04
[3,2]:-295.975
[4,2]:-205.349
[5,2]:-138.049
[6,2]:-91.748
[7,2]:-59.057
[8,2]:-35.027
[9,2]:-16.458
[10,2]:0.0
[11,2]:0.0
[0,3]:-409.11
[1,3]:-409.11
[2,3]:-448.53
[3,3]:-371.783
[4,3]:-266.719
[5,3]:-182.238
[6,3]:-121.724
[7,3]:-78.414
[8,3]:-46.498
[9,3]:-21.834
[10,3]:0.0
[11,3]:0.0
[0,4]:-430.673
[1,4]:-430.673
[2,4]:-482.018
[3,4]:-411.456
[4,4]:-303.218
[5,4]:-210.8
[6,4]:-142.039
[7,4]:-91.869
[8,4]:-54.58
[9,4]:-25.641
[10,4]:0.0
[11,4]:0.0
[0,5]:-430.292
[1,5]:-430.292
[2,5]:-484.334
[3,5]:-417.777
[4,5]:-311.678
[5,5]:-219.019
[6,5]:-148.736
[7,5]:-96.708
[8,5]:-57.65
[9,5]:-27.125
[10,5]:0.0
[11,5]:0.0
[0,6]:-412.732
[1,6]:-412.732
[2,6]:-461.511
[3,6]:-395.092
[4,6]:-293.602
[5,6]:-206.556
[6,6]:-140.869
[7,6]:-92.042
[8,6]:-55.092
[9,6]:-25.98
[10,6]:0.0
[11,6]:0.0
[0,7]:-375.196
[1,7]:-375.196
[2,7]:-411.469
[3,7]:-343.378
[4,7]:-250.345
[5,7]:-174.831
[6,7]:-119.351
[7,7]:-78.304
[8,7]:-47.064
[9,7]:-22.252
[10,7]:0.0
[11,7]:0.0
[0,8]:-307.313
[1,8]:-307.313
[2,8]:-324.515
[3,8]:-258.887
[4,8]:-183.052
[5,8]:-126.438
[6,8]:-86.352
[7,8]:-56.877
[8,8]:-34.317
[9,8]:-16.264
[10,8]:0.0
[11,8]:0.0
[0,9]:-183.72
[1,9]:-183.72
[2,9]:-182.873
[3,9]:-138.232
[4,9]:-95.197
[5,9]:-65.469
[6,9]:-44.849
[7,9]:-29.645
[8,9]:-17.933
[9,9]:-8.512
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
