-1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
-1.073	1.073	1.454	1.688	1.776	1.775	1.703	1.548	1.267	0.752	0.000	0.000
0.256	-0.256	-0.114	0.080	0.201	0.226	0.168	0.035	-0.155	-0.279	0.000	0.000
0.826	-0.826	-1.029	-1.050	-1.004	-0.973	-0.970	-0.970	-0.905	-0.610	0.000	0.000
0.692	-0.692	-0.979	-1.133	-1.174	-1.160	-1.115	-1.022	-0.830	-0.473	0.000	0.000
0.471	-0.471	-0.706	-0.877	-0.955	-0.960	-0.906	-0.789	-0.594	-0.314	0.000	0.000
0.326	-0.326	-0.497	-0.638	-0.718	-0.732	-0.686	-0.582	-0.424	-0.220	0.000	0.000
0.237	-0.237	-0.362	-0.470	-0.537	-0.553	-0.518	-0.437	-0.316	-0.164	0.000	0.000
0.181	-0.181	-0.274	-0.358	-0.411	-0.426	-0.401	-0.339	-0.245	-0.127	0.000	0.000
0.145	-0.145	-0.220	-0.286	-0.330	-0.343	-0.325	-0.276	-0.200	-0.104	0.000	0.000
0.145	-0.145	-0.220	-0.286	-0.330	-0.343	-0.325	-0.276	-0.200	-0.104	0.000	0.000
0.145	-0.145	-0.220	-0.286	-0.330	-0.343	-0.325	-0.276	-0.200	-0.104	0.000	0.000
