[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:1.068
[1,1]:1.068
[2,1]:1.082
[3,1]:0.823
[4,1]:0.559
[5,1]:0.375
[6,1]:0.25
[7,1]:0.162
[8,1]:0.097
[9,1]:0.045
[10,1]:0.0
[11,1]:0.0
[0,2]:1.101
[1,2]:1.101
[2,2]:1.245
[3,2]:1.049
[4,2]:0.764
[5,2]:0.529
[6,2]:0.359
[7,2]:0.234
[8,2]:0.141
[9,2]:0.067
[10,2]:0.0
[11,2]:0.0
[0,3]:0.613
[1,3]:0.613
[2,3]:0.801
[3,3]:0.781
[4,3]:0.629
[5,3]:0.459
[6,3]:0.318
[7,3]:0.209
[8,3]:0.126
[9,3]:0.06
[10,3]:0.0
[11,3]:0.0
[0,4]:0.239
[1,4]:0.239
[2,4]:0.354
[3,4]:0.4
[4,4]:0.36
[5,4]:0.281
[6,4]:0.202
[7,4]:0.136
[8,4]:0.083
[9,4]:0.039
[10,4]:0.0
[11,4]:0.0
[0,5]:0.008
[1,5]:0.008
[2,5]:0.031
[3,5]:0.061
[4,5]:0.075
[5,5]:0.071
[6,5]:0.057
[7,5]:0.041
[8,5]:0.026
[9,5]:0.013
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.184
[1,6]:-0.184
[2,6]:-0.244
[3,6]:-0.242
[4,6]:-0.196
[5,6]:-0.141
[6,6]:-0.094
[7,6]:-0.06
[8,6]:-0.035
[9,6]:-0.016
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.416
[1,7]:-0.416
[2,7]:-0.551
[3,7]:-0.553
[4,7]:-0.459
[5,7]:-0.341
[6,7]:-0.237
[7,7]:-0.156
[8,7]:-0.093
[9,7]:-0.044
[10,7]:0.0
[11,7]:0.0
[0,8]:-0.778
[1,8]:-0.778
[2,8]:-0.971
[3,8]:-0.907
[4,8]:-0.715
[5,8]:-0.519
[6,8]:-0.36
[7,8]:-0.238
[8,8]:-0.144
[9,8]:-0.068
[10,8]:0.0
[11,8]:0.0
[0,9]:-1.458
[1,9]:-1.458
[2,9]:-1.588
[3,9]:-1.295
[4,9]:-0.937
[5,9]:-0.656
[6,9]:-0.452
[7,9]:-0.3
[8,9]:-0.182
[9,9]:-0.087
[10,9]:0.0
[11,9]:0.0
[0,10]:-1.458
[1,10]:-1.458
[2,10]:-1.588
[3,10]:-1.295
[4,10]:-0.937
[5,10]:-0.656
[6,10]:-0.452
[7,10]:-0.3
[8,10]:-0.182
[9,10]:-0.087
[10,10]:0.0
[11,10]:0.0
[0,11]:-1.458
[1,11]:-1.458
[2,11]:-1.588
[3,11]:-1.295
[4,11]:-0.937
[5,11]:-0.656
[6,11]:-0.452
[7,11]:-0.3
[8,11]:-0.182
[9,11]:-0.087
[10,11]:0.0
[11,11]:0.0
