[12,12]
[0,0]:-1.0
[1,0]:-1.721
[2,0]:-0.003
[3,0]:1.451
[4,0]:1.54
[5,0]:1.12
[6,0]:0.758
[7,0]:0.526
[8,0]:0.381
[9,0]:0.29
[10,0]:0.29
[11,0]:0.29
[0,1]:1.0
[1,1]:1.721
[2,1]:0.003
[3,1]:-1.451
[4,1]:-1.54
[5,1]:-1.12
[6,1]:-0.758
[7,1]:-0.526
[8,1]:-0.381
[9,1]:-0.29
[10,1]:-0.29
[11,1]:-0.29
[0,2]:1.0
[1,2]:2.427
[2,2]:0.419
[3,2]:-1.795
[4,2]:-2.188
[5,2]:-1.69
[6,2]:-1.168
[7,2]:-0.811
[8,2]:-0.584
[9,2]:-0.44
[10,2]:-0.44
[11,2]:-0.44
[0,3]:1.0
[1,3]:2.947
[2,3]:0.927
[3,3]:-1.785
[4,3]:-2.562
[5,3]:-2.144
[6,3]:-1.548
[7,3]:-1.094
[8,3]:-0.791
[9,3]:-0.598
[10,3]:-0.598
[11,3]:-0.598
[0,4]:1.0
[1,4]:3.174
[2,4]:1.257
[3,4]:-1.622
[4,4]:-2.65
[5,4]:-2.363
[6,4]:-1.778
[7,4]:-1.285
[8,4]:-0.939
[9,4]:-0.715
[10,4]:-0.715
[11,4]:-0.715
[0,5]:1.0
[1,5]:3.191
[2,5]:1.34
[3,5]:-1.512
[4,5]:-2.594
[5,5]:-2.376
[6,5]:-1.829
[7,5]:-1.345
[8,5]:-0.995
[9,5]:-0.764
[10,5]:-0.764
[11,5]:-0.764
[0,6]:1.0
[1,6]:3.062
[2,6]:1.207
[3,6]:-1.512
[4,6]:-2.48
[5,6]:-2.234
[6,6]:-1.714
[7,6]:-1.269
[8,6]:-0.949
[9,6]:-0.736
[10,6]:-0.736
[11,6]:-0.736
[0,7]:1.0
[1,7]:2.777
[2,7]:0.877
[3,7]:-1.571
[4,7]:-2.275
[5,7]:-1.94
[6,7]:-1.45
[7,7]:-1.069
[8,7]:-0.805
[9,7]:-0.631
[10,7]:-0.631
[11,7]:-0.631
[0,8]:1.0
[1,8]:2.253
[2,8]:0.371
[3,8]:-1.534
[4,8]:-1.855
[5,8]:-1.457
[6,8]:-1.049
[7,8]:-0.768
[8,8]:-0.583
[9,8]:-0.461
[10,8]:-0.461
[11,8]:-0.461
[0,9]:1.0
[1,9]:1.294
[2,9]:-0.09
[3,9]:-1.038
[4,9]:-1.046
[5,9]:-0.765
[6,9]:-0.539
[7,9]:-0.396
[8,9]:-0.302
[9,9]:-0.241
[10,9]:-0.241
[11,9]:-0.241
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
