[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:1.723
[1,1]:1.723
[2,1]:1.898
[3,1]:1.567
[4,1]:1.074
[5,1]:0.686
[6,1]:0.43
[7,1]:0.262
[8,1]:0.147
[9,1]:0.067
[10,1]:0.0
[11,1]:0.0
[0,2]:2.261
[1,2]:2.261
[2,2]:2.676
[3,2]:2.371
[4,2]:1.741
[5,2]:1.175
[6,2]:0.767
[7,2]:0.482
[8,2]:0.28
[9,2]:0.13
[10,2]:0.0
[11,2]:0.0
[0,3]:1.492
[1,3]:1.492
[2,3]:1.97
[3,3]:1.983
[4,3]:1.617
[5,3]:1.165
[6,3]:0.785
[7,3]:0.502
[8,3]:0.295
[9,3]:0.138
[10,3]:0.0
[11,3]:0.0
[0,4]:0.619
[1,4]:0.619
[2,4]:0.925
[3,4]:1.081
[4,4]:1.0
[5,4]:0.787
[6,4]:0.559
[7,4]:0.368
[8,4]:0.22
[9,4]:0.103
[10,4]:0.0
[11,4]:0.0
[0,5]:0.036
[1,5]:0.036
[2,5]:0.106
[3,5]:0.206
[4,5]:0.263
[5,5]:0.255
[6,5]:0.208
[7,5]:0.15
[8,5]:0.095
[9,5]:0.046
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.406
[1,6]:-0.406
[2,6]:-0.547
[3,6]:-0.558
[4,6]:-0.443
[5,6]:-0.296
[6,6]:-0.178
[7,6]:-0.099
[8,6]:-0.051
[9,6]:-0.022
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.904
[1,7]:-0.904
[2,7]:-1.242
[3,7]:-1.313
[4,7]:-1.109
[5,7]:-0.81
[6,7]:-0.541
[7,7]:-0.339
[8,7]:-0.195
[9,7]:-0.089
[10,7]:0.0
[11,7]:0.0
[0,8]:-1.668
[1,8]:-1.668
[2,8]:-2.189
[3,8]:-2.165
[4,8]:-1.741
[5,8]:-1.252
[6,8]:-0.847
[7,8]:-0.543
[8,8]:-0.32
[9,8]:-0.149
[10,8]:0.0
[11,8]:0.0
[0,9]:-3.088
[1,9]:-3.088
[2,9]:-3.57
[3,9]:-3.091
[4,9]:-2.279
[5,9]:-1.582
[6,9]:-1.071
[7,9]:-0.697
[8,9]:-0.417
[9,9]:-0.196
[10,9]:0.0
[11,9]:0.0
[0,10]:-3.088
[1,10]:-3.088
[2,10]:-3.57
[3,10]:-3.091
[4,10]:-2.279
[5,10]:-1.582
[6,10]:-1.071
[7,10]:-0.697
[8,10]:-0.417
[9,10]:-0.196
[10,10]:0.0
[11,10]:0.0
[0,11]:-3.088
[1,11]:-3.088
[2,11]:-3.57
[3,11]:-3.091
[4,11]:-2.279
[5,11]:-1.582
[6,11]:-1.071
[7,11]:-0.697
[8,11]:-0.417
[9,11]:-0.196
[10,11]:0.0
[11,11]:0.0
