[12,12]
[0,0]:-427.408
[1,0]:-427.408
[2,0]:-471.236
[3,0]:-388.013
[4,0]:-265.046
[5,0]:-169.069
[6,0]:-105.765
[7,0]:-64.242
[8,0]:-36.158
[9,0]:-16.5
[10,0]:0.0
[11,0]:0.0
[0,1]:-427.408
[1,1]:-427.408
[2,1]:-471.236
[3,1]:-388.013
[4,1]:-265.046
[5,1]:-169.069
[6,1]:-105.765
[7,1]:-64.242
[8,1]:-36.158
[9,1]:-16.5
[10,1]:0.0
[11,1]:0.0
[0,2]:-588.671
[1,2]:-588.671
[2,2]:-673.667
[3,2]:-578.019
[4,2]:-406.177
[5,2]:-261.893
[6,2]:-163.679
[7,2]:-98.949
[8,2]:-55.433
[9,2]:-25.22
[10,2]:0.0
[11,2]:0.0
[0,3]:-714.637
[1,3]:-714.637
[2,3]:-844.519
[3,3]:-756.034
[4,3]:-553.155
[5,3]:-366.724
[6,3]:-232.675
[7,3]:-141.865
[8,3]:-79.998
[9,3]:-36.508
[10,3]:0.0
[11,3]:0.0
[0,4]:-770.31
[1,4]:-770.31
[2,4]:-930.515
[3,4]:-860.311
[4,4]:-651.513
[5,4]:-444.131
[6,4]:-287.016
[7,4]:-177.052
[8,4]:-100.657
[9,4]:-46.107
[10,4]:0.0
[11,4]:0.0
[0,5]:-774.659
[1,5]:-774.659
[2,5]:-943.915
[3,5]:-885.53
[4,5]:-683.25
[5,5]:-474.61
[6,5]:-311.635
[7,5]:-194.631
[8,5]:-111.675
[9,5]:-51.389
[10,5]:0.0
[11,5]:0.0
[0,6]:-742.97
[1,6]:-742.97
[2,6]:-902.132
[3,6]:-842.901
[4,6]:-650.409
[5,6]:-454.546
[6,6]:-301.545
[7,6]:-190.469
[8,6]:-110.358
[9,6]:-51.058
[10,6]:0.0
[11,6]:0.0
[0,7]:-673.73
[1,7]:-673.73
[2,7]:-805.32
[3,7]:-735.7
[4,7]:-557.88
[5,7]:-387.714
[6,7]:-258.481
[7,7]:-164.854
[8,7]:-96.427
[9,7]:-44.866
[10,7]:0.0
[11,7]:0.0
[0,8]:-548.571
[1,8]:-548.571
[2,8]:-634.916
[3,8]:-556.621
[4,8]:-409.522
[5,8]:-281.381
[6,8]:-188.137
[7,8]:-121.012
[8,8]:-71.376
[9,8]:-33.377
[10,8]:0.0
[11,8]:0.0
[0,9]:-320.424
[1,9]:-320.424
[2,9]:-354.517
[3,9]:-297.469
[4,9]:-213.574
[5,9]:-145.929
[6,9]:-97.962
[7,9]:-63.386
[8,9]:-37.574
[9,9]:-17.622
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
